,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Main Category,Sub - Category, Sub - Category 2,url,titleText,titleLength,metaDescription,metaDescriptionLength
,,Home Page ,,,https://ajaypipes.com/,Ajay Pipes - Pipes Fittings Manufacturer Company In India,57,"Choose Ajay Pipes, India's top pipe manufacturer and supplier, for a wide range of high-quality pipes. Find your ideal solution now!",132
,,About,,,https://ajaypipes.com/about-ajay/,About Ajay Pipes Quality Plumbing Solutions,43,"Learn about Ajay Pipes, a leading manufacturer of high-quality plumbing solutions. Discover our commitment to innovative products.",130
,,About Ajay,vision-mission-and-core-values,,https://ajaypipes.com/vision-mission-and-core-values/,Vision & Mission of Ajay Pipes | Future of Plumbing,51,"Explore Ajay Pipes’ vision and mission built on quality, innovation and sustainable plumbing solutions for stronger, safer water systems.",137
,,About Ajay,infrastructure-technology,,https://ajaypipes.com/infrastructure-technology/,Infrastructure & Technology | Ajay Pipes,40,"Discover Ajay Pipes' advanced infrastructure and technology, driving innovation in the piping industry. Explore our cutting-edge solutions",138
,,About Ajay,Integrated policies,quality-policy,https://ajaypipes.com/quality-policy/,Quality Policy | Ajay Pipes Commitment to Excellence,52,"Ajay Pipes ensures top quality with advanced tech and strict testing for safe, durable, and reliable piping solutions you can trust.",132
,,About Ajay,Integrated Policies,environment-policy,https://ajaypipes.com/environment-policy/,Ajay Pipes Environment Policy & Sustainability,46,"Ajay Pipes champions eco-friendly production and resource-saving practices, delivering sustainable piping solutions for a greener future.",137
,,About Ajay,Integrated Policies,safety-policy,https://ajaypipes.com/safety-policy/,Safety Policy | Ajay Pipes Commitment Workplace Safety!,55,"Explore Ajay Pipes’ safety policy ensuring worker protection, safe operations, strict training and compliance for a secure workplace.",133
,,Products / Landing Page,Integrated Policies,ajay-extended-limited-warranty,https://ajaypipes.com/ajay-extended-limited-warranty/,Ajay Extended Limited Warranty Assurance,40,"Ajay Pipes provides Extended Limited Warranty Assurance for long-lasting performance, trusted quality, and reliable piping solutions.",133
,,About Ajay,our-divisions/,,https://ajaypipes.com/our-divisions/,Our Divisions | Innovation & Excellence - Ajay Pipes,52,"Ajay Pipes delivers advanced plumbing, agriculture, and industrial piping solutions with quality, reliability, and continuous innovation.",137
,,About Ajay,chairmans-desk/,,https://ajaypipes.com/chairmans-desk/,S C Jain – Visionary Chairman of Ajay Pipes,43,"S C Jain, visionary Chairman of Ajay Pipes, leads innovation and quality excellence, shaping the future of India’s trusted piping industry.",139
,,About Ajay,awards-and-certifications/,,https://ajaypipes.com/awards-and-certifications/,Ajay Pipes: Awards & Certifications Excellence,46,"Discover Ajay Pipes’ awards & certifications, reflecting excellence, trust, and top-quality standards in plumbing and water solutions.",134
,,About Ajay,ajay-team/,,https://ajaypipes.com/ajay-team/,Meet the Ajay Pipes Team | Experts You Can Trust,48,"Meet Ajay Pipes’ dedicated team providing quality, innovation, and trusted solutions for India’s plumbing and water management.",127
,,About Ajay,sustainability/,,https://ajaypipes.com/sustainability/,Sustaining Growth for Future | Ajay Pipes Brand,47,"Ajay Pipes fuels sustainable growth with innovative, eco-friendly, and high-quality piping solutions for a stronger infrastructure future.",138
